model,n_obs,positive_rate,n_pairs,human_success_rows,human_success_rate_in_rows
Pro_MiniMaxAI_MiniMax-M2.5,5951,0.3318769954629474,2977,2975,0.4999159805074777
Pro_zai-org_GLM-4.7,5954,0.2779643936849177,2977,2977,0.5
Qwen_Qwen2.5-32B-Instruct,5954,0.26452804837084315,2977,2977,0.5
Qwen_Qwen2.5-72B-Instruct,5954,0.3473295263688277,2977,2977,0.5
deepseek-ai_DeepSeek-V3,5954,0.4126637554585153,2977,2977,0.5
google_gemini-2.5-flash-lite,5954,0.19734632180047026,2977,2977,0.5
gpt-4o-mini,5954,0.2413503527040645,2977,2977,0.5
gpt-5.5,5954,0.36664427275780986,2977,2977,0.5
