feature_id,paper_feature_name,feature_group,final_v3_results_Pro_MiniMaxAI_MiniMax-M2.5,final_v3_results_Pro_zai-org_GLM-4.7,final_v3_results_Qwen_Qwen2.5-32B-Instruct,final_v3_results_Qwen_Qwen2.5-72B-Instruct,final_v3_results_deepseek-ai_DeepSeek-V3,final_v3_results_google_gemini-2.5-flash-lite,final_v3_results_gpt-4o-mini,final_v3_results_gpt-5.5
arousal,arousal,argument_only,-0.06808581094715233,0.03709715823552278,-0.014150731004311664,0.05551208064202791,-0.0003377451316320095,0.05134721777637871,-0.019251373719832123,-0.022421516752554563
bullet_list,bullet list,argument_only,0.006334501293518945,0.02298245612417582,0.020683350607572933,0.028503622853555795,0.03694953074376965,0.033158239221756966,0.07232874136492637,-0.015048032166163794
common_in_content,#common in content,interplay,0.20560200741239065,0.012524302304124046,0.09883142630870916,0.10315343531622928,0.1332958776105701,0.003453470192869821,-0.03376094196748777,-0.18812562881664788
common_in_stopwords,#common in stopwords,interplay,-0.09432302792916572,0.030071299571768788,0.0013826388588298877,-0.008069388890927898,0.02421663707411921,-0.2708359116812191,0.16246431259252794,0.10861607086658605
frac_definite_articles,frac. definite articles,argument_only,-0.038402398448197456,0.020655329498208773,-0.040387871675633964,-0.020894621905639864,0.015011227555056175,0.07490724506011283,0.039251545383219316,0.037604366653522646
frac_dotcom_links,frac. .com links,argument_only,-0.09015892372988926,0.07728684005818331,0.09229926583734127,0.05570082351457398,0.12113369356523183,0.05028193016660289,-0.025478533956336757,0.0953091504945682
frac_italics,frac. italics,argument_only,0.046546171010746984,-0.01923993176047078,-0.060184629219179345,-0.04853242187228089,0.08051889320739597,0.04120727493726102,0.003152056523040035,0.0035990412582543214
frac_links,frac. links,argument_only,0.1576404054082638,0.10524002110668676,-0.016633993796132954,0.11192118161822436,0.027609475742355043,0.056451258961177316,0.10756869402207107,0.03663369956011453
frac_positive_words,frac. positive words,argument_only,-0.13626945844021313,-0.023861137479655355,-0.20022396515781576,-0.02079350183108456,-0.06598834799305199,-0.05263902731963553,0.0026320478959669068,-0.12927405776963813
jaccard_in_all,Jaccard in all,interplay,0.26587767683414515,-0.34819862758202635,-0.04843614118508072,-0.19996976599334532,-0.15558909694948628,-0.46308903516350636,-0.3707678875829747,-0.07804275747348782
jaccard_in_content,Jaccard in content,interplay,-0.3700519126295346,0.1692625764989166,-0.02863170560170622,0.03836249466347119,-0.028505319635148352,0.5702346874372997,0.2919057455110926,-0.1058787003797307
jaccard_in_stopwords,Jaccard in stopwords,interplay,0.12431282921459831,0.41508530313096714,0.06327641324213786,0.19696396719497938,0.33915469057060565,0.4584325103712752,0.17822396528989365,0.28789299811377533
num_1st_person_plural_pronouns,#1st person plural pronoun,argument_only,-0.11543177218763628,-0.09278645922194653,-0.07869195451585229,-0.1086333273232952,-0.14558779572082836,-0.17237286557403758,-0.07382093199462696,-0.19394986761375627
num_1st_person_pronouns,#1st person pronouns,argument_only,0.04965053581542961,0.08914486324273468,0.06376063955275965,0.04209819358905398,-0.025368616961994564,-0.056503644454007844,0.006032919873348076,-0.009606496506947393
num_2nd_person_pronouns,#2nd person pronoun,argument_only,-0.09862196061181272,0.024959712626259015,0.03376693617482009,0.0005503084239710894,0.002392928705555925,-0.12016123854795391,-0.11067210025664179,-0.008047341436100613
num_bolds,#bolds,argument_only,0.009152147555208504,0.03328091691492198,0.007896486299611625,0.005773880082818244,0.009856062251657584,0.00018742861520935558,-0.00989874782235477,-0.023856043027166922
num_definite_articles,#definite articles,argument_only,-0.055347876544013144,-0.19284485401304105,-0.0428316972760185,-0.14057047618052762,-0.1495477744080274,-0.20717523764453738,-0.2610957792225519,-0.13752722073973406
num_dotcom_links,#.com links,argument_only,0.1854308083447342,0.06454737317235014,0.04440106592250308,-0.015399290874145035,-0.014234613503899115,0.049668994217326304,0.06443857594300972,-0.053110290825655035
num_examples,#examples,argument_only,0.03525403837036824,0.0229091665308708,0.02424768877095988,0.010642993079699601,0.020624971821683137,0.0699334002855394,0.0276360056920558,0.06560538470231415
num_hedges,#hedges,argument_only,-0.03808979749449594,-0.002143130188667408,0.19381723107795334,-0.005180140630757758,0.07084321030744183,0.2132456802570873,0.057159075072423994,-0.016029504521572063
num_indefinite_articles,#indefinite articles,argument_only,-0.01664240948844896,0.09815963913742488,-0.0030017453702311566,0.04037044570177421,0.049171193808664096,0.14744330272163741,0.0404833019674259,0.06096372358200895
num_italics,#italics,argument_only,0.01951853907689543,0.056258940837278344,0.03977040620250389,0.021681531625539634,-0.03145784304786033,-0.032559016347026834,0.004327110716266187,0.13134249646235133
num_links,#links,argument_only,-0.13227142373119713,-0.14548313092258916,-0.02545649509135047,0.015254094477022622,-0.05040015466261946,-0.0457389764007753,-0.005318771149931861,-0.10433563403528753
num_negative_words,#negative words,argument_only,0.1093751413471116,-0.030608351506812313,0.07565742338212389,-0.019920494961489617,0.04792475600426204,-0.11696141012728381,-0.11562299801666368,-0.08528373965263147
num_paragraphs,#paragraphs,argument_only,0.024611200379609816,-0.14176360396562757,-0.2242141031133876,-0.07173329726223021,-0.20344976764271083,-0.16502372030616033,-0.13490982578039512,-0.11430090890120498
num_pdf_links,#PDF links,argument_only,0.09923923884367086,0.05994770223417743,0.010660264502078267,-0.010442606142925989,0.09599142204295343,0.0332074056285401,0.05433639358215505,0.1231375700146697
num_positive_words,#positive words,argument_only,0.21063046262218518,-0.113322927805824,0.4181275102198935,0.18328360132216506,0.05341775832505549,-0.24164211039752373,0.09614395361102132,0.2917816690182067
num_question_marks,#question marks,argument_only,-0.027270357273702646,-0.10704983123625028,-0.02617490551343895,-0.06485294540676638,-0.051759664706248924,-0.04088981118232864,-0.0009576148648293425,-0.01642264342056106
num_sentences,#sentences,argument_only,-0.0686093779971963,0.07404497925472614,0.040216341878961545,-0.051537195389034354,0.07029089020422608,-0.15190269270728618,-0.18693561779474027,-0.06180624702976359
num_words,#words,argument_only,-0.33979283074534483,0.07338334078671079,-0.695414239085582,-0.08173359324685178,-0.03304961996930461,0.5418982749210272,0.2785754235524249,-0.06681185118378857
numbered_words,numbered words,argument_only,0.049910322451688166,0.07304991521664855,0.010618861612245392,0.034945944239989604,0.11639187080933096,0.10596456292571903,0.033689911311678734,0.04874877464228573
op_frac_in_all,OP frac. in all,interplay,0.38815829896624415,1.4380124442122038,1.5469297703406268,1.3476731873469456,1.3721826186046047,1.440591524557982,1.344372967743123,0.6162838797973821
op_frac_in_content,OP frac. in content,interplay,0.08721742338529384,-0.6229838893044026,-0.6762144462285276,-0.6383139954544929,-0.3526584757657313,-0.8534315296748678,-0.6633352131530909,0.21499981831061005
op_frac_in_stopwords,OP frac. in stopwords,interplay,-0.40127523874107707,-1.0738637326615492,-0.9623464076142487,-0.8962653998499952,-1.004695915517206,-0.9883886928017344,-0.7294356214450725,-0.6232968658150663
reply_frac_in_all,reply frac. in all,interplay,-0.555029593848374,-0.03515668516022316,-0.4603108704657519,-0.3035645296757237,-0.40794428204366245,0.30094179041113006,-0.15758108100217721,-0.11252309001503263
reply_frac_in_content,reply frac. in content,interplay,0.3826919914610635,0.001873122093622115,0.266493795995959,0.16166817573736803,0.1290415082514096,-0.3716435128224421,-0.018542334863494617,-0.003397471205914132
reply_frac_in_stopwords,reply frac. in stopwords,interplay,0.05052255196081477,-0.17225203395183392,0.08031100041606415,-0.015507113390990809,0.006419526163114446,-0.16462025168761832,0.01559437332928363,-0.10379732374911502
type_token_ratio,type-token ratio,argument_only,-0.1745028622087369,-0.31910454557661855,-0.19856687294074893,-0.13152476532496837,-0.21223931805139604,-0.14553620598313532,-0.1598355944489401,-0.09342372048976112
valence,valence,argument_only,-0.06018419431102702,-0.041531854634617296,0.1186520215181672,-0.043617469079299045,-0.0189684380915999,0.011698740554000098,-0.10741895690644333,-0.030470412515559715
word_entropy,word entropy,argument_only,0.2978516852144626,0.23090553870230662,0.29148323955816013,0.32127542985484436,0.3414285174998049,0.5331234471144637,0.07482031628650712,0.28833772290730003
